"sexo","idade","produto","valor","comprou"
"M","26","Chinelo 4","95.0","1"
"M","33","Sunga 1","39.9","0"
"M","55","Camisa 1","59.9","1"
"M","44","Sunga 2","29.9","1"
"M","26","Camisa Polo 3","85.9","0"
"F","64","Sandalia 3","150.0","0"
"M","26","Camisa Xadrez","100.0","1"
"F","70","Calça Xadrez 2","23.9","0"
"F","28","Camisa 3","39.9","0"
"F","34","Camisa Polo","50.0","0"
"M","20","Camisa 1","59.9","0"
"F","42","Camisa Xadrez","100.0","1"
"F","35","Camisa Polo 3","85.9","0"
"M","56","Sunga 5","15.5","0"
"M","56","Calça Xadrez 2","23.9","1"
"M","69","Tenis Xadrez","325.0","0"
"M","20","Tenis Xadrez","325.0","0"
"M","19","Camisa Xadrez 3","99.5","0"
"M","30","Camisa Xadrez 2","123.9","1"
"M","59","Camisa Xadrez 5","81.4","0"
"M","67","Camisa Polo 2","55.9","1"
"M","37","Camisa 1","59.9","0"
"M","47","Camisa Xadrez 2","123.3","0"
"F","62","Camisa Xadrez 3","99.5","0"
"F","62","Camisa Polo 1","59.0","0"
"M","49","Tenis polo","300.5","1"
"F","31","Camisa Polo 1","59.0","1"
"F","30","Camisa Polo 1","59.0","0"
"M","31","Sunga 6","79.9","0"
"M","46","Calça Polo","51.0","0"
"M","50","Chinelo 3","119.9","0"
"M","33","Tenis s/ cadarço","551.9","1"
"M","36","Camisa Polo 2","95.9","1"
"F","60","Camisa Xadrez 4","77.0","1"
"M","67","Camisa Xadrez 5","81.4","0"
"M","56","Camisa Xadrez 5","81.4","1"
"F","37","Tenis Xadrez","325.0","1"
"M","48","Calça Xadrez 3","89.5","1"
"F","23","Calça Polo","51.0","1"
"F","18","Sunga 3","25.9","1"
"M","34","Tenis polo","300.5","1"
"M","48","Camisa 3","39.9","0"
"M","53","Calça Polo","51.0","0"
"F","45","Camisa Xadrez 2","123.3","0"
"F","36","Sunga 4","49.9","0"
"F","41","Sandalia 5","100.0","1"
"F","31","Chinelo 4","95.0","1"
"M","24","Tenis polo","300.5","1"
"F","28","Chinelo 5","55.4","0"
"M","18","Camisa Polo 2","95.9","0"
"F","62","Sandalia 5","100.0","1"
"F","54","Calça Polo 1","159.9","0"
"M","50","Camisa 4","29.9","0"
"F","59","Camisa Xadrez 4","77.0","0"
"F","59","Sandalia 2","71.9","0"
"M","18","Sandalia 3","150.0","0"
"F","47","Sandalia 4","259.9","1"
"M","45","Sunga 3","25.9","0"
"M","28","Camisa 1","59.9","1"
"F","36","Sunga 6","79.9","0"
"M","24","Sunga 2","29.9","1"
"F","37","Sandalia 4","259.9","0"
"M","26","Sandalia 2","71.9","1"
"F","46","Tenis s/ cadarço","551.9","1"
"F","47","Camisa Polo 2","55.9","0"
"M","67","Sandalia 3","150.0","1"
"F","23","Camisa 4","29.9","0"
"M","33","Chinelo 1","39.9","0"
"F","46","Camisa Polo 3","85.9","0"
"M","35","Chinelo 1","39.9","1"
"M","38","Sunga 3","25.9","0"
"M","56","Sunga 3","25.9","0"
"M","69","Camisa Xadrez 3","99.5","1"
"M","30","Sandalia 5","100.0","0"
"M","28","Chinelo 1","39.9","0"
"F","54","Sunga 2","29.9","0"
"F","40","Sandalia 2","71.9","0"
"F","53","Camisa Xadrez 3","147.2","0"
"M","67","Chinelo 5","55.4","0"
"M","20","Sandalia 2","71.9","0"
"F","61","Camisa Polo 2","95.9","0"
"M","56","Camisa Xadrez 3","147.2","1"
"F","23","Camisa Polo 3","85.9","1"
"M","24","Camisa Xadrez 5","81.4","0"
"F","23","Camisa Xadrez 4","77.0","1"
"M","50","Camisa Xadrez 2","123.3","1"
"F","53","Chinelo 5","55.4","0"
"F","61","Chinelo 3","119.9","1"
"M","62","Sandalia 4","259.9","1"
"M","63","Tenis polo","300.5","0"
"F","19","Sunga 3","25.9","0"
"F","22","Camisa Xadrez 3","99.5","0"
"F","52","Tenis s/ cadarço","551.9","0"
"F","30","Camisa 4","29.9","0"
"M","46","Camisa Xadrez 4","77.0","1"
"F","69","Calça Xadrez 3","89.5","0"
"F","42","Sandalia 3","150.0","0"
"M","19","Sandalia 5","100.0","1"
"F","58","Camisa Polo 3","85.9","0"
"F","57","Camisa Polo 2","65.9","0"
"F","53","Tenis Xadrez 2","225.8","1"
"F","34","Sandalia 1","59.9","1"
